name,n
Kerdo,152
Eia,10
Malvina,20
Carolyna,7
Ele-Liis,8
Susan,48
Hassan,7
Brandon,96
Daniele,14
Kaire,1370
Maivi,56
Gerdy,7
Tanel,2625
Ane,21
Roni,8
Beril,7
Targo,101
Florian,18
Yaroslav,95
Tagnar,7
Henrich,11
Merleen,12
Maret,1718
Renne,7
Artis,13
Hanna Kristin,6
Mirabel,15
Hanna-Leena,6
Heliko,10
Evert,176
Annamaria,16
Rait,873
Keiro,71
Klaus,79
Natalija,293
David,704
Mai-Ly,10
Regle,15
Andreana,7
Alicia,52
Darian,12
Kaisu,14
Eke,30
Karl-Robin,10
Eleni,13
Küllo,34
Madleen,51
Neeme,376
Valdur,623
Nele-Riin,6
Ettel,12
Helle-Mall,31
Alvina,86
Tom,129
Toomas,5802
Grete-Liis,107
Arleen,7
Eldin,6
Kady,46
Kristel-Liis,8
Elenor,36
Heddy,35
Asija,8
Haimar,14
Savva,57
Geir,32
Teini,6
Vitalii,157
Hanna,915
Danuta,15
Merike,3244
Jasmine,17
Mirja,102
Krete,96
Ariane,13
Mia-Marleen,17
Romina,11
Dmitriy,112
Leanika,27
Selene,10
Vyacheslav,664
Vaike,1982
Ilga,21
Hektor,10
Marta Mia,12
Sirve,22
Aivis,10
Kristiina-Maria,6
Marcella,24
Reimond,9
Sandra,2195
Deivy,14
Merete,17
Saul,10
Viktoria,3342
Marvin,124
Christer,25
Uljas,18
Marit,649
Tanno,25
Anneliise,6
Cevin,29
Ilon,9
Mart,2692
Valdeko,196
Pihla,7
Urme,18
Lisanne,105
Kristaps,15
Kaida,39
Barbara,71
Helmut,306
Roland,1103
Andžei,13
Nele-Liis,61
Palmi,59
Lysette,11
Kent,54
Dorel,18
Hanna Liis,21
Domenico,7
Ahmed,16
Jüri,5562
Aigar,470
Vlad,72
Maria-Liisa,23
Anna Leena,7
Aima,27
Bella,63
Rannet,13
Kai-Riin,17
Aksa,8
Alliki,21
Gerrit,37
Enda,117
Platon,142
Linda,2864
Renat,128
Aneth,13
Marilis,45
Leane,19
Iva,12
Sander,3210
Alec,7
Steven,647
Cätriin,9
Illona,6
Irmen,7
Anastasiya,89
Johanna Maria,65
Rogert,6
Hillart,13
Sofia,1773
Stelle,11
Ilmar,1571
Rasmus,2553
Prohor,13
Anzela,6
Juta,1517
Roko,11
Ülle-Mai,6
Maarja Liis,12
Arbo,50
Kevin,2158
Adrianna,8
Belinda,11
Alexandru,10
Rutti,18
Laine,2286
Ameelia,8
Priidik,71
Artemii,6
Lovisa,11
Külle,26
Kaia,601
Erik,2085
Kutt,8
Arabella,245
Gerti,32
Mari,1875
Eevi,1076
Etkar,8
Hegne,15
Maibritt,6
Birgitta,25
Sigre,27
Uwe,19
Joanna,202
Hedvig,107
Martine,6
Herle,10
Glen,54
Pirkko,16
Mall,568
Jakub,27
Renaldo,43
Taisi,110
Vane,9
Kalmer,818
Liis-Marii,47
Marjo,30
Salme,942
Helvi,540
Zulfia,8
Cecilia,12
Lui,31
Celia,21
Eliisbeth,8
Aiki,149
Pentti,6
Daisy,152
Rustam,128
Eglė,6
Margis,21
Gretta,15
Eveline,11
Laura-Eliise,9
Karl-Markus,109
Evgenija,9
Kea,68
Serafima,176
Markkus,151
Petrik,16
Johanna,986
Carl,124
Maja,42
Eidi,19
Heleriin,108
Baiba,15
Stephanie,16
Elmira,75
Hanna-Maria,76
Fabrizio,6
Nella,37
Merelle,23
Elma,132
Ann-Marii,26
Alvin,54
Heivo,28
Iti,98
Galija,11
Rennet,11
Dinis,10
Maicel,8
Manuela,14
Karl-Joosep,26
Garri,42
Evelyn,477
Kaisa-Maria,6
Kitty,14
Cristjan,9
Maarja,1851
Erlis,9
Arden,11
Valve,1030
