Andriy,,56
Andro,,262
Andrus,,3258
Andry,,136
András,,5
André,,26
Andu,,68
Andy,,29
Andžei,,13
Andželika,36,
Ane,21,
Anel,7,
Aneli,12,
Anelia,8,
Anell,14,
Anella,23,
Anelle,64,
Anet,84,
Aneta,41,
Anete,413,
Aneth,13,
Anett,404,
Anetta,27,
Anette,612,
Anette Maria,8,
Anette-Liis,5,
Anfisa,54,
Anfissa,57,
Ange,19,
Angeelika,145,
Angel,4,21
Angela,790,
Angele,5,
Angeli,15,
Angelia,6,
Angelica,82,
Angeliina,41,
Angelika,448,
Angelina,882,
Angelo,,10
Angely,7,
Angus,,7
Ani,14,
Aniita,30,
Anika,18,
Anil,,6
Anisja,10,
Anita,633,
Anitra,9,
Anja,24,
Anjuta,7,
Anke,7,
Anli,7,
Ann,372,
Ann-Kristin,7,
Ann-Liis,6,
Ann-Mari,7,
Ann-Marii,26,
Anna,8500,
Anna Grete,7,
Anna Leena,7,
Anna Liisa,27,
Anna Maria,103,
Anna Marie,20,
Anna-Britt,6,
Anna-Grete,10,
Anna-Helena,7,
Anna-Kaisa,18,
Anna-Laura,5,
Anna-Leena,6,
Anna-Lena,6,
Anna-Liina,14,
Anna-Liis,45,
Anna-Liisa,403,
Anna-Ly,5,
Anna-Mari,18,
Anna-Maria,286,
Anna-Marie,17,
Anna-Marija,14,
Anna-Stiina,7,
Anna-Stina,11,
Anna-Kaisa,18,
Anna-Liina,14,
Anna-Liis,45,
Anna-Liisa,403,
Anna-Maria,286,
Annabel,833,
Annabell,62,
Annabella,14,
Annabrit,6,
Annagreta,6,
Annaliina,6,
Annaliis,47,
Annaliisa,198,
Annaliise,7,
Annaly,5,
Annamari,8,
Annamaria,16,
Anne,5201,4
Anne Liis,5,
Anne Mai,10,
Anne-Grete,8,
Anne-Katrin,8,
Anne-Lii,64,
Anne-Liia,5,
Anne-Liis,166,
Anne-Liisa,11,
Anne-Liise,6,
Anne-Ly,321,
Anne-Mai,177,
Anne-Mari,98,
Anne-Maria,23,
Anne-Marie,28,
Anne-Marii,8,
Anne-Mary,9,
Anne-Liis,166,
Anne-Ly,321,
Anne-Mai,177,
Annely,800,
Annemai,62,
Annegret,16,
Annegrete,10,
Anneke,9,
Anneken,10,
Annela,189,
Annele,6,
Anneli,3437,
Annelie,14,
Annelii,78,
Anneliis,151,
Anneliise,6,
Annelis,6,
Annely,800,
Annemai,62,
Annemari,81,
Annemarie,25,
Annes,,96
Anneta,7,
Annete,8,
Annett,20,
Annette,52,
Anni,866,
Annica,6,
Annie,5,
Annika,2740,
Annike,38,
Anniki,65,
Annimari,5,
Anno,,24
Anny,11,
Anri,,36
Anry,4,5
Antanas,,25
Antero,,51
Anthony,,35
Anti,,865
Anto,,65
Anton,,2389
Antoni,4,18
Antonina,1979,
Antonio,,41
Antons,,13
Antony,,7
Ants,,3005
Ants-Kristjan,,5
Antti,,244
Anu,3229,
Anu-Liis,9,
Anu-Reet,5,
Anvar,,45
Anzela,7,
Anzelika,25,
Anzhela,47,
Anzhelika,52,
Anžela,424,
Anželika,621,
Anžella,41,
Anıl,,6
Apollinaria,8,
Ara,4,7
Arabella,236,
Aram,,12
Arbo,,50
Arco,,5
Ard,,10
Arden,,11
Ardi,,356
Ardo,,484
Ardon,,9
Are,4,199
Areli,4,4
Aren,,13
Aret,4,9
Arge,7,4
Argo,,1361
Argos,,6
Ari,,5
Ari Matti,,5
Aria,10,
Ariadna,54,
Arian,,9
Ariana,120,
Ariane,13,
Arianna,38,
Arianne,5,
Arie,4,5
Ariel,7,13
Arif,,8
Ariina,10,
Arik,,8
Ariko,,5
Arina,1073,
Aris,,12
Arita,5,
Arkadi,,321
Arkady,,43
Arko,,68
Arle,34,21
Arleen,7,
Arlen,,7
Arles,,58
Arlet,,37
Arli,4,68
Arlin,4,5
Arlis,4,40
Arlo,,10
Arly,4,5
Arma,29,
Arman,,22
Armand,,117
Armanda,8,
Armando,,14
Armas,,38
Armen,,56
Armi,4,5
Armido,,5
Armin,,428
Armine,15,
Armis,,11
Armo,,45
Arne,,848
Arni,,23
Arnika,21,
Arnis,,46
Arno,,868
Arnold,,642
Aro,,18
Aron,,431
Arp,,10
Arpo,,17
Arro,,14
Arsen,,56
Arseni,,559
Arsenti,,5
Arseny,,20
Arsi,4,8
Art,,84
Artem,,315
Artemi,,257
Artemii,,6
Artemij,,6
Arthur,,236
Arti,,160
Artis,,13
Artjom,,2597
Arto,,83
Artti,,11
Artur,,3428
Arturas,,18
Arturs,,35
Artyom,,60
Artūrs,,11
Arved,,255
Arvet,,149
Arvi,,1237
Arvid,,35
Arvidas,,7
Arvin,,30
Arvis,,9
Arvo,,2303
Arzu,8,4
Ashot,,6
Asia,15,
Asija,8,
Asja,50,
Asko,,236
Askold,,7
Asmik,6,
Asmo,,15
Assar,,18
Asser,,18
Asso,,94
Assol,7,
Asta,1554,
Asti,33,
Aston,,28
Astra,185,
Astrid,794,
Astrit,65,
Asya,12,
Ati,,9
Ats,,547
Atso,,27
August,,433
Aule,42,4
Auli,95,4
